sector_id,metric_id,year,raw_value,norm_score
1,1,2025,34.0,31.3
1,2,2025,3.0,25.0
1,3,2025,17.0,100.0
1,4,2025,12.0,18.9
1,5,2025,10.0,20.0
1,6,2025,89.0,81.0
1,7,2025,84.0,43.8
2,1,2025,13.0,0.0
2,2,2025,1.0,0.0
2,3,2025,7.0,33.3
2,4,2025,7.0,5.4
2,5,2025,4.0,5.0
2,6,2025,67.0,28.6
2,7,2025,79.0,12.5
3,1,2025,24.0,16.4
3,2,2025,1.0,0.0
3,3,2025,4.0,13.3
3,4,2025,5.0,0.0
3,5,2025,6.0,10.0
3,6,2025,79.0,57.1
3,7,2025,82.0,31.2
4,1,2025,42.0,43.3
4,2,2025,3.0,25.0
4,3,2025,10.0,53.3
4,4,2025,16.0,29.7
4,5,2025,10.0,20.0
4,6,2025,80.0,59.5
4,7,2025,87.0,62.5
5,1,2025,27.0,20.9
5,2,2025,3.0,25.0
5,3,2025,7.0,33.3
5,4,2025,11.0,16.2
5,5,2025,8.0,15.0
5,6,2025,55.0,0.0
5,7,2025,77.0,0.0
6,1,2025,24.0,16.4
6,2,2025,1.0,0.0
6,3,2025,2.0,0.0
6,4,2025,7.0,5.4
6,5,2025,2.0,0.0
6,6,2025,63.0,19.0
6,7,2025,84.0,43.8
7,1,2025,80.0,100.0
7,2,2025,9.0,100.0
7,3,2025,13.0,73.3
7,4,2025,42.0,100.0
7,5,2025,42.0,100.0
7,6,2025,97.0,100.0
7,7,2025,92.0,93.8
8,1,2025,75.0,92.5
8,2,2025,4.0,37.5
8,3,2025,8.0,40.0
8,4,2025,32.0,73.0
8,5,2025,34.0,80.0
8,6,2025,94.0,92.9
8,7,2025,93.0,100.0
9,1,2025,40.0,40.3
9,2,2025,3.0,25.0
9,3,2025,8.0,40.0
9,4,2025,18.0,35.1
9,5,2025,13.0,27.5
9,6,2025,78.0,54.8
9,7,2025,88.0,68.8
1,8,2024,180319677.0,100.0
1,9,2024,331557.0,100.0
1,10,2024,33368.0,29.3
2,8,2024,25901135.0,9.9
2,9,2024,111728.0,19.6
2,10,2024,27738.0,19.3
3,8,2024,41043043.0,18.7
3,9,2024,146452.0,32.3
3,10,2024,57350.0,71.9
4,8,2024,90801158.0,47.8
4,9,2024,116948.0,21.5
4,10,2024,29001.0,21.5
5,8,2024,45006602.0,21.1
5,9,2024,106944.0,17.8
5,10,2024,25343.0,15.0
6,8,2024,8919140.0,0.0
6,9,2024,58178.0,0.0
6,10,2024,16878.0,0.0
7,8,2024,29166904.0,11.8
7,9,2024,103167.0,16.5
7,10,2024,22474.0,9.9
8,8,2024,20557776.0,6.8
8,9,2024,113516.0,20.2
8,10,2024,73174.0,100.0
9,8,2024,30413098.0,12.5
9,9,2024,154874.0,35.4
9,10,2024,71795.0,97.6
